啊	啊	a·	不錯啊，多美啊，快來啊，很好啊，小心啊	（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣	
形	形	xíng	形容，外形		
型	型	xíng			
刑	刑	xíng	刑警，處刑		
行	行	xíng	行走，行李，行動，行人，步行，實行，流行，舉行	走	
邢	邢	xíng		（姓）	
滎	荥	xíng	滎陽	（地名）	
陘	陉	xíng	井陘	（地名）山口，山脈中斷的地方	
鉶	铏	xíng		古代盛菜羹的器皿	
行	行	xíng/xìng	言行，品行，罪行	足以表明品質的舉止行動	
婿	婿	xù	女婿		
畜	畜	xù	畜牧	（動詞）飼養動物	
蓄	蓄	xù	蓄意，含蓄		
恤	恤	xù	恤金，體恤		
旭	旭	xù	旭日		
酗	酗	xù	酗酒		
絮	絮	xù	絮叨，花絮		
敘	叙	xù	敘述		
序	序	xù	序言，秩序		
緒	绪	xù	頭緒，情緒		
續	续	xù	續集，繼續		
漵	溆	xù	漵水，漵浦	（水名，地名）	
煦	煦	xù/xǔ	和煦	溫暖	
訓	训	xùn	訓練，教訓		
汛	汛	xùn	汛期，防汛	河流定期的漲水	
訊	讯	xùn	訊息，通訊		
迅	迅	xùn	迅速，迅猛，迅即		
浚	浚	xùn	浚縣	（地名）	濬
殉	殉	xùn	殉職，殉葬		
熏	熏	xùn	熏倒，熏著	受毒氣等的氣味而窒息或昏倒	燻
巽	巽	xùn			
蕈	蕈	xùn	蕈類	蘑菇，一種食用菌	
遜	逊	xùn/sùn	出言不遜		
馴	驯	xùn/xún	馴服，溫馴		
徐	徐	xú	徐緩，徐步，徐徐	（姓）	
詢	询	xún	詢問，查詢		
循	循	xún	循環，遵循		
峋	峋	xún	嶙峋	山石重疊不平	
鱘	鲟	xún	鱘魚		
尋	寻	xún	尋找，搜尋		
荀	荀	xún			
蕁	荨	xún	蕁麻疹		
巡	巡	xún	巡邏，巡弋，巡迴		
旬	旬	xún	初旬，中旬，下旬		
珣	珣	xún		一種玉石	
西	西	xī			
希	希	xī	希望	盼望	
悉	悉	xī	熟悉，據悉		
吸	吸	xī	吸引，呼吸		
犀	犀	xī	犀牛，木犀		
稀	稀	xī	稀少，稀罕		
兮	兮	xī			
皙	皙	xī	白皙		
唏	唏	xī	唏噓，噓唏	歎息	
熹	熹	xī			
奚	奚	xī	奚落		
溪	溪	xī	溪水		
羲	羲	xī	伏羲		
曦	曦	xī	晨曦	早晨的陽光	
犧	牺	xī	犧牲		
析	析	xī	分析		
蜥	蜥	xī	蜥蜴		
膝	膝	xī	膝蓋，屈膝		
蟋	蟋	xī	蟋蟀		
醯	醯	xī		醋，酸	
嬉	嬉	xī	嬉戲，嬉皮笑臉		
熙	熙	xī	熙攘，康熙		
晰	晰	xī	清晰		
淅	淅	xī	淅瀝瀝	淘米	
硒	硒	xī		化學元素34	
烯	烯	xī	烯烴，聚乙烯	一種有機化合物	
欷	欷	xī	欷歔，歔欷	歎息	
嘻	嘻	xī			
舾	舾	xī	舾裝	船舶裝備品	
浠	浠	xī	浠水	（地名、水名）	
茜	茜	xī		（人名用字）	
樨	樨	xī	木樨	一種植物	
晞	晞	xī		乾，乾燥	
蹊	蹊	xī	蹊徑，山蹊	小路	
豨	豨	xī	豭豨	（古）豬	
嶲	嶲	xī	巂州，越嶲	（地名）中國古代西南民族、地名	西
瘜	瘜	xī	瘜肉	息肉	
夕	夕	xī/xì	夕陽，旦夕		
矽	矽	xī/xì		化學元素14（普通話今作硅）	
囍	囍	xī/xì			
翕	翕	xī/xì	翕動	協調，合	
汐	汐	xī/xì	潮汐		
息	息	xī/xí	息怒，信息		
惜	惜	xī/xí	惜別，可惜		
熄	熄	xī/xí	熄滅，吹熄		
昔	昔	xī/xí	昔日，今昔		
裼	裼	xī/xí	袒裼，袒裼裸裎	（古）長衣	
心	心	xīn			
辛	辛	xīn	辛苦，艱辛		
欣	欣	xīn	欣慰，歡欣		
新	新	xīn			
芯	芯	xīn	燈芯	去皮的燈心草	
薪	薪	xīn	薪水，加薪	柴火	
馨	馨	xīn	馨香，溫馨	芳香	
忻	忻	xīn		喜悦	
鑫	鑫	xīn		財富興盛	
昕	昕	xīn		黎明	
鋅	锌	xīn		化學元素30	
歆	歆	xīn		喜悅，羨慕	
莘	莘	xīn	莘莊	（植物名，地名）	
妡	妡	xīn			
興	兴	xīng	興建，興奮，興盛，興旺，興隆，興衰，興起，振興，復興，中興，時興，新興	發動，創辦，昌盛，旺盛，流行	
腥	腥	xīng	腥味，血腥		
星	星	xīng	星星，明星，流星		
猩	猩	xīng	猩紅，猩猩		
惺	惺	xīng	惺忪，假惺惺		
需	需	xū	需要，急需		
戌	戌	xū	戌時	地支的第十一位	
胥	胥	xū	胥吏，鈔胥	古代的小官	
虛	虚	xū	虛假，空虛		
噓	嘘	xū	吹噓，唏噓		
墟	墟	xū	廢墟		
鬚	须	xū	鬚子，鬍鬚		
頊	顼	xū	顓頊		
歔	歔	xū	歔欷，欷歔	歎息	
須	须	xū	須知，無須		
吁	吁	xū	長吁短歎	歎息	
盱	盱	xū		張目，睜大眼睛	
醺	醺	xūn			
熏	熏	xūn	熏陶，熏染		
熏	熏	xūn	熏黑，熏肉，煙熏		燻
薰	薰	xūn	薰草	一種香草	
勳	勋	xūn	勳章，授勳		勛
壎	埙	xūn	壎篪相和	一種古代吹奏樂器	塤
徙	徙	xǐ	徒居，遷徙		
喜	喜	xǐ	喜歡，恭喜		
洗	洗	xǐ	洗衣，沖洗		
璽	玺	xǐ	玉璽		
屣	屣	xǐ		鞋子	
禧	禧	xǐ/xī	千禧，慈禧		
省	省	xǐng	反省，不省人事		
醒	醒	xǐng	醒來，吵醒		
擤	擤	xǐng	擤鼻涕		
詡	诩	xǔ	自詡	說大話，誇張	
栩	栩	xǔ	栩栩如生		
許	许	xǔ	許願，也許		
呀	呀	ya·			
喲	哟	yo·	哎喲		
唷	唷	yo·			
媛	媛	yuàn	名媛	美女	
怨	怨	yuàn	怨恨，恩怨		
院	院	yuàn	院子，學院		
願	愿	yuàn	願意，許願		
苑	苑	yuàn			
園	园	yuán			
員	员	yuán	員工，成員		
原	原	yuán	原來，平原		
援	援	yuán	援助，救援		
轅	辕	yuán	轅門，軒轅	古代車前用來套駕牲畜的直木	
圓	圆	yuán			
垣	垣	yuán	城垣，斷壁殘垣	牆，矮牆	
源	源	yuán	源頭，資源		
元	元	yuán	元首，多元		
緣	缘	yuán	緣故，血緣		
猿	猿	yuán	猿猴，猿人		
袁	袁	yuán			
沅	沅	yuán	沅江	（水名）	
塬	塬	yuán	塬地	中國西北部的一種地貌	
螈	螈	yuán	蠑螈	一種像蜥蜴的兩棲類動物	
櫞	橼	yuán	枸櫞，香櫞	一種植物	
黿	鼋	yuán	黿魚，黿鼉	黿魚，一種巨大的淡水鱉	
圜	圜	yuán	圓，圓形		
爰	爰	yuán			
月	月	yuè	月亮，滿月		
岳	岳	yuè	岳母，岳父，岳家	對妻子的父母家人的稱呼	
越	越	yuè	越過，超越		
嶽	岳	yuè	山嶽，五嶽	高大的山	
樂	乐	yuè	樂器，樂譜，音樂	指音樂	
鉞	钺	yuè		一種古代兵器	
悅	悦	yuè	悅耳，喜悅		
粵	粤	yuè	粵語，兩粵		
躍	跃	yuè	躍進，跳躍		
閱	阅	yuè	閱讀，檢閱		
籥	籥	yuè		一種古代管樂器	
玥	玥	yuè		古代傳說中的一種神珠	
櫟	栎	yuè	櫟陽	（地名）	
瀹	瀹	yuè			
淵	渊	yuān			
鳶	鸢	yuān	鳶尾花		
冤	冤	yuān	冤枉，含冤		寃
鴛	鸳	yuān	鴛鴦		
約	约	yuē	約定，條約		
曰	曰	yuē	子曰	說	
遠	远	yuǎn	遠處，永遠，深遠	不近，距離或時間長	
遠	远	yuǎn/yuàn	敬而遠之	不接近，不親近	
猰	猰	yà	猰貐	古代傳說中一種吃人的猛獸	
婭	娅	yà	姻婭	連襟，姐妹丈夫的互稱	
軋	轧	yà	軋平，傾軋，軋花機，軋棉花	碾壓，滾壓	
氬	氩	yà		化學元素18	
訝	讶	yà	驚訝		
揠	揠	yà	揠苗助長		
亞	亚	yà/yǎ	亞軍，東亞		
雁	雁	yàn	大雁，鴻雁，飛雁		
晏	晏	yàn			
硯	砚	yàn	硯台	研磨用具	
饜	餍	yàn	饜足	滿足	
諺	谚	yàn	諺語，古諺		
贗	赝	yàn	贗品	假的，偽造的	贋
唁	唁	yàn	悼唁，弔唁		
彥	彦	yàn			
宴	宴	yàn	宴會，喜宴		
驗	验	yàn	驗血，經驗		
厭	厌	yàn	厭倦，討厭		
嚥	咽	yàn	嚥氣，吞嚥，嚥口水，狼吞虎嚥，細嚼慢嚥	吞	
燕	燕	yàn	燕子，家燕		
艷	艳	yàn	艷麗，鮮艷		豔
堰	堰	yàn	堰塞湖，都江堰	擋水的低壩	
讞	谳	yàn	定讞	司法程序的專門用語，意謂法定的訴訟程序結束，判決已經確定	
嬿	嬿	yàn			
焰	焰	yàn/yán	火焰，烈焰，氣焰		燄
漾	漾	yàng	蕩漾		
樣	样	yàng	樣品，模樣		
恙	恙	yàng	恙蟲，無恙	疾病	
烊	烊	yàng/yáng	打烊		
藥	药	yào	藥物，服藥		
耀	耀	yào	耀眼，榮耀		
鷂	鹞	yào	鷂鷹		
要	要	yào	要緊，要點，要旨，要是，要素，要命，要塞，要好，要害，重要，主要，提要，摘要	嚴重，關鍵，緊要，需要	
鑰	钥	yào	鑰匙		
曜	曜	yào			
樂	乐	yào	樂山樂水，樂道安貧，知者樂水，仁者樂山	愛好，喜好，欣賞	
衙	衙	yá	衙門，縣衙		
涯	涯	yá	生涯，天涯，無涯		
牙	牙	yá	牙齒，象牙		
睚	睚	yá	睚眥	眼眶	
芽	芽	yá	萌芽，苗芽，豆芽，發芽		
蚜	蚜	yá	蚜蟲，棉蚜	一種害蟲	
崖	崖	yá/yái	崖壁，懸崖		
簷	檐	yán	簷下，屋簷		
筵	筵	yán	筵席		
言	言	yán	言論，語言		
延	延	yán	延續，拖延		
沿	沿	yán	沿海，沿街		
炎	炎	yán	炎熱，發炎		
顏	颜	yán	顏色，容顏		
岩	岩	yán	岩石，岩漿		巖
嚴	严	yán	嚴重，尊嚴		
芫	芫	yán	芫荽，香菜		
妍	妍	yán		美麗	
鹽	盐	yán	鹽巴，食鹽		
閻	阎	yán	閻羅，閻王爺	管地獄的神	
閆	闫	yán		（姓）	
研	研	yán	研究，科研		
蜒	蜒	yán	蜿蜒		
綖	𫄧	yán	綖板，紘綖	（古）垂在帽子前後的飾物	
陽	阳	yáng	陽光，太陽		
羊	羊	yáng	羊毛，牧羊		
楊	杨	yáng	楊桃，楊柳		
揚	扬	yáng			
暘	旸	yáng			
瘍	疡	yáng	潰瘍		
颺	飏	yáng			
洋	洋	yáng	洋人，海洋		
佯	佯	yáng	佯裝		
徉	徉	yáng	徜徉		
煬	炀	yáng		熔化金屬	
堯	尧	yáo	堯舜		
餚	肴	yáo	菜餚，佳餚		
謠	谣	yáo	謠言，造謠		
爻	爻	yáo			
搖	摇	yáo	搖擺		
颻	飖	yáo			
瑤	瑶	yáo	瑤族，瓊瑤	美玉	
鰩	鳐	yáo	鰩魚	一種海魚	
遙	遥	yáo	遙遠，遙控		
窯	窑	yáo			
姚	姚	yáo			
洮	洮	yáo	洮湖	（湖名）	
垚	垚	yáo		（人名）山高	
傜	傜	yáo	傜族，傜語	中國少數民族之一	
徭	徭	yáo	徭役	勞役，力役	
業	业	yè	業餘，工業		
謁	谒	yè	謁見，進謁	拜見，進見	
咽	咽	yè	哽咽，嗚咽	阻塞；聲音低沉、悲淒、滯澀	
燁	烨	yè		火光很盛的樣子，明亮	
靨	靥	yè	笑靨	酒窩	
頁	页	yè	頁數，頁面，網頁		
腋	腋	yè	腋窩，腋下，腋臭		
葉	叶	yè	樹葉		
夜	夜	yè	夜晚，深夜		
鄴	邺	yè		（地名、姓）	
曄	晔	yè		光，光明，繁盛	
液	液	yè/yì	液體，汁液		
曳	曳	yè/yì	拖曳，搖曳		
掖	掖	yè/yì	扶掖，獎掖，掖縣	扶持，攙扶，提拔	
邪	邪	yé	是邪，非邪，莫邪	（文言）表示疑問、感嘆等語氣	耶
揶	揶	yé	揶揄		
爺	爷	yé	爺爺，少爺		
琊	琊	yé	瑯琊	（地名）	
鋣	铘	yé	鏌鋣	古代寶劍名	
易	易	yì	易懂，易燃，貿易，交易		
鐿	镱	yì		化學元素70	
肄	肄	yì	肄業	求學、修業	
抑	抑	yì	抑或，壓抑		
繹	绎	yì	演繹，絡繹不絕		
憶	忆	yì	回憶，記憶，追憶		
詣	诣	yì	造詣		
議	议	yì	議題，會議		
裔	裔	yì	後裔，華裔		
縊	缢	yì	自縊	用繩子勒死	
奕	奕	yì	神采奕奕，精神奕奕	盛大，美，光明	
意	意	yì	意見，如意		
義	义	yì	義氣，正義		
熠	熠	yì	熠熠閃爍	光耀，鮮明	
劓	劓	yì	劓殄	割掉鼻子的酷刑	
毅	毅	yì	毅然，毅力，剛毅		
役	役	yì	服役，退役，戰役		
藝	艺	yì	藝術，文藝		
悒	悒	yì	悒鬱		
疫	疫	yì	疫苗，鼠疫		
刈	刈	yì	刈草	割，尤指割草、穀類等	
懿	懿	yì	懿德，懿行	美好	
薏	薏	yì	薏米		
異	异	yì			
蜴	蜴	yì	蜥蜴		
弋	弋	yì	游弋，巡弋		
譯	译	yì	譯名，翻譯		
屹	屹	yì	屹立		
逸	逸	yì	安逸，逃逸		
翊	翊	yì			
弈	弈	yì	博弈，對弈		
翌	翌	yì	翌日，翌年		
邑	邑	yì			
羿	羿	yì	后羿		
益	益	yì	益處，利益		
驛	驿	yì	驛站		
亦	亦	yì	人云亦云，反之亦然		
囈	呓	yì	囈語，夢囈		
癔	癔	yì	癔病	神經官能症，又叫歇斯底里	
溢	溢	yì	溢出，洋溢		
億	亿	yì	億萬，十億		
軼	轶	yì	軼事		
翼	翼	yì	機翼，右翼，左翼，小心翼翼		
臆	臆	yì			
挹	挹	yì	挹取，挹注	舀	
燚	燚	yì		（人名）	
勩	勚	yì	勩勞，勩勤	勞苦	
佾	佾	yì	佾舞，佾生	古代樂舞的行列	
杙	杙	yì	桷杙，杙屋	小木樁	
佚	佚	yì	佚文，亡佚	散失	
鎰	镒	yì			
懌	怿	yì			
誼	谊	yì/yí	友誼，情誼，聯誼		
胤	胤	yìn			
印	印	yìn	印象，指印		
蔭	荫	yìn			
窨	窨	yìn	窨井，地窨子	地下室	
鮣	䲟	yìn	鮣魚，鮣科	一種魚	
應	应	yìng	應用，答應，回應		
映	映	yìng	映射，放映		
硬	硬	yìng	堅硬		
疑	疑	yí	疑惑，懷疑		
胰	胰	yí	胰臟，胰島素		
咦	咦	yí			
儀	仪	yí	儀式，禮儀		
遺	遗	yí	遺憾，無遺		
姨	姨	yí	姨媽，阿姨		
宜	宜	yí	宜人，便宜		
頤	颐	yí	頤和園，頤指氣使		
彞	彝	yí	彞族		
夷	夷	yí	夷為平地，匪夷所思		
怡	怡	yí	怡悅，怡然，怡人		
飴	饴	yí	含飴弄孫，甘之如飴	麥芽糖漿	
移	移	yí	移動，轉移		
痍	痍	yí	滿目瘡痍		
詒	诒	yí			
貽	贻	yí	貽笑大方，縱敵貽患	留下，遺留，贈送	
沂	沂	yí	沂河	（水名）	
眙	眙	yí	盱眙	（地名）	
迤	迤	yí	逶迤		
蛇	蛇	yí	委蛇，虛與委蛇		
匜	匜	yí			
銀	银	yín	銀行，水銀		
夤	夤	yín			
寅	寅	yín			
霪	霪	yín	霪雨	連續不斷下過量的雨	
淫	淫	yín	淫蕩，賣淫		
齦	龈	yín	牙齦		
吟	吟	yín	吟唱，呻吟		
垠	垠	yín	無垠，一望無垠		
沂	沂	yín		河岸	
齗	龂	yín	齗齗，牙齗	牙齒的根肉，牙齦	
圻	圻	yín		界限，邊際	
狺	狺	yín	狺吠，狺狺	狗叫的聲音	
鄞	鄞	yín			
蠅	蝇	yíng	蒼蠅		
螢	萤	yíng	螢火蟲		
營	营	yíng	營業，經營		
嬴	嬴	yíng		（姓）	
瑩	莹	yíng	晶瑩	光潔明亮	
瀅	滢	yíng		清澈	
迎	迎	yíng	迎接，歡迎		迊
熒	荧	yíng	熒光		
贏	赢	yíng	贏錢，輸贏		
瀛	瀛	yíng	瀛寰，東瀛	大海	
縈	萦	yíng	縈繞，縈迴，縈懷	繞	
瀠	潆	yíng	瀠洄	水流迴旋的樣子	
楹	楹	yíng	楹聯	堂屋前面的柱子	
盈	盈	yíng	盈餘		
滎	荥	yíng	滎經	（地名）	
鎣	蓥	yíng	華鎣	（地名）	
溋	溋	yíng			
用	用	yòng	用法，好用		
佣	佣	yòng	佣金，佣錢，回佣	買賣時給中間人的報酬	
誘	诱	yòu	誘餌，誘惑，引誘		
侑	侑	yòu			
幼	幼	yòu	幼小，幼稚		
囿	囿	yòu			
又	又	yòu	欲言又止，想了又想		
柚	柚	yòu	柚子，葡萄柚	一種常綠喬木	
鼬	鼬	yòu		黃鼠狼	
右	右	yòu	右邊，左右		
佑	佑	yòu	佑助，保佑		祐
釉	釉	yòu	釉陶，釉子		
宥	宥	yòu	赦宥		
游	游	yóu	游泳，下游		
鈾	铀	yóu		化學元素92	
尤	尤	yóu	尤其，尤物，怨天尤人		
油	油	yóu	油田，加油		
疣	疣	yóu	疣豬，贅疣	皮膚上不痛不癢的疙瘩	
郵	邮	yóu	郵局，集郵		
猶	犹	yóu	猶如，猶豫，猶太		
由	由	yóu	由於，理由		
遊	游	yóu	遊戲，旅遊		
魷	鱿	yóu	魷魚		
蚰	蚰	yóu	蚰蜒		
楢	楢	yóu		古指一種質地柔軟的樹木	
蝣	蝣	yóu	蜉蝣	一種生活在水中的昆蟲	
猷	猷	yóu			
柚	柚	yóu/yòu	柚木	一種落葉喬木	
郁	郁	yù	郁烈，濃郁		
譽	誉	yù	榮譽，名譽		
裕	裕	yù	富裕，寬裕		
癒	愈	yù	痊癒，病癒		
蜮	蜮	yù	鬼蜮		
遇	遇	yù	遇見，遭遇		
域	域	yù	區域，領域		
禦	御	yù	禦寒，抵禦	抵擋	
鈺	钰	yù			
育	育	yù	教育，體育		
御	御	yù	御用，御駕，御醫	和皇帝有關的	
昱	昱	yù		日光，照耀	
喻	喻	yù	比喻，暗喻，家喻戶曉，不可理喻		
諭	谕	yù	諭令，詔諭	告知，吩咐	
獄	狱	yù	監獄，地獄，入獄		
萸	萸	yù	茱萸		
玉	玉	yù	玉石，玉米，佩玉		
嫗	妪	yù	老嫗		
慾	欲	yù	慾望，食慾	想得到某東西的願望	
閾	阈	yù	視閾，痛閾	門檻，界限	
馭	驭	yù	駕馭		
豫	豫	yù	猶豫		
浴	浴	yù	浴池，沐浴，淋浴		
籲	吁	yù	籲請，呼籲	為某種要求而呼喊	
煜	煜	yù		照耀	
寓	寓	yù	寓言，公寓		
彧	彧	yù			
預	预	yù	預定，預算		
愈	愈	yù	愈加，愈來愈，愈戰愈勇		
欲	欲	yù	欲罷不能，為所欲為	要，想要	
芋	芋	yù	芋頭，山芋		
蕷	蓣	yù	薯蕷		
與	与	yù	與會，與賽，參與	（動詞）參加	
鬱	郁	yù	鬱悶，憂鬱		
聿	聿	yù			
毓	毓	yù			
鷸	鹬	yù	鷸蚌相爭		
峪	峪	yù		山谷（用于地名）	
鬻	鬻	yù	鬻文，賣官鬻爵	賣	
罭	罭	yù	九罭	捕捉小魚的細網	
語	语	yù	不以語人	（動詞）告訴	
熨	熨	yù	熨貼	恰當，貼切，妥貼，舒適	
熨	熨	yùn	熨斗	把衣服燙平；把衣服燙平的工具	
慍	愠	yùn	慍怒，慍色	怒	
暈	晕	yùn	日暈，月暈，紅暈，墨暈，燈暈，酒暈	出現在日月周圍的光環	
醞	酝	yùn	醞釀		
運	运	yùn	運輸，運動		
韻	韵	yùn	韻律，音韻		
孕	孕	yùn	孕育，懷孕		
蘊	蕴	yùn	蘊含		
鄆	郓	yùn	鄆城	（地名）	
暈	晕	yùn/yūn	暈船，暈車，暈機，眼暈	乘坐交通工具時頭腦不舒服；頭發昏	
揄	揄	yú	揶揄		
覦	觎	yú	覬覦		
禺	禺	yú	番禺		
歟	欤	yú			
予	予	yú	予取予求	我，吾	
瑜	瑜	yú	瑜珈，瑜不掩瑕，瑕不掩瑜		
狳	狳	yú	犰狳		
竽	竽	yú	濫竽充數		
魚	鱼	yú			
愚	愚	yú	愚蠢，愚弄，大智若愚		
余	余	yú		（代詞、姓）我	
逾	逾	yú	逾甚	更加，越發	
於	于	yú	於是，終於	（介詞）	
踰	逾	yú	踰期，踰越，年踰花甲，蕩檢踰閒	超過，越過	
妤	妤	yú	婕妤		
餘	余	yú	餘下，餘留，多餘，業餘，剩餘，有餘，之餘，餘音繞樑，不遺餘力，心有餘悸	剩下的，多出的，不盡的，殘留的，未完的	馀
娛	娱	yú	娛樂		
渝	渝	yú	始終不渝		
愉	愉	yú	愉快		
臾	臾	yú	須臾		
輿	舆	yú	輿論，堪輿		
于	于	yú		（姓）	
隅	隅	yú	一隅，向隅	角落	
諛	谀	yú	阿諛，諂諛	奉承	
盂	盂	yú	痰盂，漱口盂	盛液體的器皿	
俞	俞	yú		（姓）	
蝓	蝓	yú	蛞蝓		
榆	榆	yú	榆樹		
漁	渔	yú	漁人，漁民，漁船		
虞	虞	yú	爾虞我詐		
腴	腴	yú	豐腴，膏腴	油脂，胖，肥沃	
雩	雩	yú	雩壇，雩祭	（古）求雨的祭禮	
褕	褕	yú	襜褕	一種短便衣	
璵	玙	yú	璵璠	美玉，寶玉	
蕓	芸	yún	蕓薹		
芸	芸	yún	芸香，芸芸		
耘	耘	yún	耘田，耕耘		
昀	昀	yún			
勻	匀	yún	勻稱，均勻		
紜	纭	yún	紛紜，眾說紛紜		
妘	妘	yún		（姓）	
云	云	yún	不知所云，人云亦云		
雲	云	yún	雲天，風雲		
筠	筠	yún		竹子的青皮	
鋆	鋆	yún		金子	
丫	丫	yā	丫頭，腳丫		
押	押	yā	押金，扣押		
壓	压	yā	壓力，高壓		
鴉	鸦	yā	鴉雀無聲，烏鴉		
鴨	鸭	yā	鴨子，烤鴨		
啞	哑	yā	咿啞，啞啞學語	（語氣助詞）呀；（象聲詞）形容烏鴉叫聲、小兒學說話等聲音	
煙	烟	yān	煙火，冒煙		
湮	湮	yān	湮沒，湮滅	埋沒	
胭	胭	yān	胭脂		
閹	阉	yān	閹割，閹雞		
淹	淹	yān	淹沒，水淹		
焉	焉	yān	焉能如此，心不在焉	此，乃，才；（疑問詞）豈，怎麼，如何	
燕	燕	yān	燕京	（姓、地名）	
煙	烟	yān	煙草，抽煙		菸
嫣	嫣	yān	嫣然一笑		
懨	恹	yān	病懨懨	疲弱無力	
咽	咽	yān	咽喉，咽頭	食道的上端部分	
醃	腌	yān	醃菜，醃肉		
鄢	鄢	yān	鄢陵	（地名）	
閼	阏	yān	閼氏	古代匈奴人妻或妾的稱號	
鞅	鞅	yāng			
殃	殃	yāng	遭殃		
秧	秧	yāng	秧苗，秧歌，插秧		
鴦	鸯	yāng	鴛鴦		
央	央	yāng	央行，中央		
妖	妖	yāo	妖魔鬼怪		
夭	夭	yāo	夭夭，逃之夭夭	茂盛的樣子	
邀	邀	yāo	邀請，應邀		
么	幺	yāo	老么		
腰	腰	yāo			
要	要	yāo	要求，要挾	求取，脅迫，強迫	
吆	吆	yāo	吆喝		
夭	夭	yāo/yǎo	夭亡，夭折，夭殤，壽夭	短命，未成年而早死	
耶	耶	yē			
噎	噎	yē	噎到，抽噎		
掖	掖	yē	掖滿，掖給，藏掖	塞，塞進；藏	
椰	椰	yē/yé	椰子，椰樹		
也	也	yě			
野	野	yě	野蠻，田野		
冶	冶	yě	冶鐵，陶冶		
依	依	yī	依賴，依靠		
伊	伊	yī	伊人，木乃伊		
漪	漪	yī	漣漪		
揖	揖	yī	作揖，開門揖盜		
銥	铱	yī		化學元素77	
衣	衣	yī	衣服，大衣		
一	一	yī		（數字）	
醫	医	yī	醫院，中醫		
壹	壹	yī		數字“一”的大寫	
猗	猗	yī		（歎詞，助詞）	
黟	黟	yī	黟縣	（地名）黑色的樣子	
禕	祎	yī		（人名）美好	
姻	姻	yīn	姻緣，婚姻		
陰	阴	yīn	陰曆，光陰		
因	因	yīn	因素，原因		
音	音	yīn	音樂，聲音		
堙	堙	yīn	堙沒，堙滅	堵塞，埋沒	陻
茵	茵	yīn	綠草如茵	鋪墊的東西：墊子、褥子、毯子的統稱	
氤	氤	yīn	氤氳，雲煙氤氳	煙雲瀰漫，雲霧或煙氣很盛的樣子	
殷	殷	yīn	殷勤		
喑	喑	yīn	喑啞，喑畏	嗓子啞而不能說話	
洇	洇	yīn			
英	英	yīng	英雄		
鶯	莺	yīng	夜鶯		
櫻	樱	yīng	櫻桃		
瑛	瑛	yīng		玉的光彩	
嬰	婴	yīng	嬰兒		
罌	罂	yīng	罌粟花		
纓	缨	yīng	纓子，帽纓，紅纓槍		
鸚	鹦	yīng	鸚鵡		
應	应	yīng	應該，理應		
膺	膺	yīng	膺懲，榮膺，悲憤填膺	胸腔，胸	
鷹	鹰	yīng	老鷹		
庸	庸	yōng	庸俗，中庸		
傭	佣	yōng	傭人，傭工，僱傭，女傭	被僱做工的人；僱人作工	
鏞	镛	yōng		大鐘，古代樂器	
慵	慵	yōng	慵懶	懶惰，睏倦	
雍	雍	yōng	雍正		
廱	廱	yōng			
邕	邕	yōng			
饔	饔	yōng	饔飧，朝饔夕飧	烹調菜餚	
鱅	鳙	yōng	鱅魚	一種淡水魚，也叫胖頭魚	
墉	墉	yōng		城牆，高牆	
癰	痈	yōng	癰疽，癰病	一種皮膚化膿性炎症	
擁	拥	yōng/yǒng	擁有，擁擠		
臃	臃	yōng/yǒng	臃腫		
悠	悠	yōu	悠久		
憂	忧	yōu	憂鬱，憂慮，擔憂		
幽	幽	yōu	幽靈，幽默		
攸	攸	yōu	攸關		
優	优	yōu	優先，優惠，優越		
淤	淤	yū	淤泥，淤積，淤塞		
迂	迂	yū	迂迴，迂腐		
瘀	瘀	yū	瘀血		
氳	氲	yūn	氤氳，雲煙氤氳	煙雲瀰漫，雲霧或煙氣很盛的樣子	
暈	晕	yūn	暈倒，暈厥，暈眩，頭暈，發暈，暈過去，暈頭轉向，暈頭暈腦，頭暈眼花	頭昏，昏迷，頭腦不清，喪失知覺	
贇	赟	yūn		美好	
啞	哑	yǎ	啞巴，啞鈴，啞子，啞劇，啞謎，聾啞，沙啞，嘶啞，啞巴虧，啞口無言，啞然無聲，裝聾作啞	不能說話，說不出話來	
雅	雅	yǎ	雅稱，優雅		
啞	哑	yǎ/è	啞啞，啞然失笑，笑之啞啞	（象聲詞）形容笑聲	
鼴	鼹	yǎn	鼴鼠		
掩	掩	yǎn	掩飾，遮掩		
儼	俨	yǎn	儼然，儼若	像真的一樣	
衍	衍	yǎn	衍生，敷衍		
奄	奄	yǎn	奄奄一息		
眼	眼	yǎn	眼睛，龍眼		
魘	魇	yǎn	夢魘		
偃	偃	yǎn	偃臥，偃旗息鼓	向後倒下	
演	演	yǎn	演員，扮演		
兗	兖	yǎn	兗州	（地名）	
琰	琰	yǎn	琰圭，琰琰	一種玉	
仰	仰	yǎng	仰臥，信仰		
氧	氧	yǎng	氧氣，臭氧		
癢	痒	yǎng	怕癢，搔癢		
養	养	yǎng	養大，培養，營養		
杳	杳	yǎo	杳無音訊		
舀	舀	yǎo			
咬	咬	yǎo			
窈	窈	yǎo	窈窕		
旖	旖	yǐ	旖旎，旖旎風情	柔和美麗	
釔	钇	yǐ		化學元素39	
已	已	yǐ	已經，早已		
迤	迤	yǐ	迤邐		
乙	乙	yǐ			
椅	椅	yǐ	椅子，輪椅		
以	以	yǐ	以為，所以		
倚	倚	yǐ	不偏不倚		
矣	矣	yǐ			
